CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0190,0.94,C0048,0.94,C0181,0.9
C0002,C0088,0.99,C0077,0.9,C0083,0.89
C0003,C0052,0.9,C0152,0.87,C0195,0.84
C0004,C0165,0.98,C0169,0.96,C0175,0.89
C0005,C0146,0.98,C0186,0.97,C0130,0.89
C0006,C0168,0.98,C0187,0.95,C0171,0.94
C0007,C0140,0.97,C0115,0.92,C0020,0.86
C0008,C0160,0.78,C0024,0.75,C0194,0.75
C0009,C0198,0.98,C0103,0.94,C0062,0.93
C0010,C0111,0.95,C0062,0.92,C0103,0.89
C0011,C0126,0.93,C0137,0.88,C0187,0.81
C0012,C0104,0.97,C0113,0.93,C0195,0.93
C0013,C0099,0.98,C0108,0.92,C0143,0.88
C0014,C0060,0.98,C0128,0.95,C0097,0.94
C0015,C0131,0.98,C0036,0.97,C0058,0.92
C0016,C0183,0.98,C0067,0.87,C0042,0.85
C0017,C0075,0.96,C0041,0.83,C0057,0.83
C0018,C0046,0.91,C0122,0.85,C0059,0.83
C0019,C0121,0.97,C0119,0.89,C0172,0.88
C0020,C0140,0.91,C0007,0.86,C0078,0.85
